p03,p05,p10,p11,p12,p13,p16,p18,p19,p21,p23,p24,p26,p27,p28,p29,p30,p31,p32,p33,p35,p36,p37,p38,p39,p40,p41,p42,p43,p46,p47,p49
0.683251096,0.843086719,0.605343209,0,0.837032258,1,0.954505814,1,0.798789509,1,0.188620072,0.792239686,0,0.853786234,1,0.832346869,0.048576689,0.16966581,0.31287227,0.687848384,0.233820196,0.998356926,0.530749563,0.902319902,1,0.099014145,0,0.321197794,0.630541872,1,0.837782863,0.712505914
0.725101271,0.353984543,0.174516532,0,0.827800555,0.998885328,0.959202294,1,0.899137813,0.903353346,0.823793059,0.281019028,0,0.873459959,0.885622288,0.857033989,0.190949516,0.906902598,0.823606083,0.200672646,0.053540815,0.898444012,0.64001511,0.934544363,0.868138168,0.247036889,0,0.314178233,0.733206289,0.938420791,0.185025543,0.772645667
0.811177816,0.722523962,0.017285862,0,0.84754522,0.994249395,0.938147617,0.792175066,0.760318175,1,0.658717105,0.604452996,0,0.866542355,0.948676171,0.462769475,0.10281821,0.475854868,0.696266124,0.705225989,0.143199436,0,0.821709358,0.842460317,0.891724671,0.418079096,0,0.635175879,0.790560941,0.867962563,0.920416198,0.680536163
0,0.476702979,0.585032921,0,0.543781809,1,0.652966576,0.144430259,0,0.887081846,0.621283654,0.767170134,0.080982236,0,0.708146943,0.736379837,0.065177876,0.37047959,0.829735825,0,0.091752283,,0.274763962,0.853614458,0.648292476,0.007925186,0,0.051495896,0.844577641,0.875722092,0.756542811,0.308178486
0,0.674516293,0.359450862,0,0.544914224,0.931868132,0.965105008,0.897555484,0.042155749,1,0.297868798,0,0,0,1,0.397156398,0,0.19812253,0.681559182,0.159155329,0.091470258,,0.292784459,1,0.827924779,0,0.597581509,0.622176591,0.489094323,0.798581326,1,0.524076934
0.59958853,0.48168643,0.870673671,0.174232958,0.888789007,1,1,0.766600595,0.193971986,0.942357513,0.023882682,0,0.403108151,0.001743562,0.961493278,0.551969504,0.025311577,0.686850492,0.985182164,0.277795578,0.112984118,,0.423310866,0.526315789,0.882687475,0.582634825,0,0.424422723,0.506165151,0.769495852,0.341408525,0.547750081
0.712338594,0.315745856,,,0.906997919,0.942457933,0.995064034,0.942698944,0.193899489,1,0,0,0.250062956,0,0.947257645,0.503045685,0.223106993,0.228705752,0.562680025,0.730415823,0,,0.454663026,0.402719327,0.807645051,0,0.571428571,0.699449147,0.533941071,0.725627376,0.464392498,0.829934107
0.163369579,0.479391497,,,0.837622712,1,1,0.933878664,0.299125808,0.855441256,0.295710175,0,0.48190725,0,0.987816925,0.664405076,0,0.234604905,0.745365731,,0.095490356,,0,0.92972973,0.767101411,0.146558704,0.23847185,0.002268259,0.785940564,0.876652548,0.116943951,0
0.491729996,0.484612228,,,0.832814527,1,0.999311863,0.7342035,0.418624161,0.918851599,0.496040545,0,0.521425208,0,0.896726947,0.811992155,0.058505732,0,0.655755156,,0.037677924,,0.632143429,0.888773927,0.676537892,0,0.119363021,,1,0.007336957,0.028616397,0.25044898
0.592994645,0.51934008,,,0.332225361,1,0.634621377,0.808412751,0.298332465,1,0,0,0,0,0.979788839,0.167877427,0,0,1,,0.123442809,,,0.811109452,0.822810591,0,0.006931928,,0.602960195,0.825872093,0,0.045559734
